,Headline,Snippet,Lead paragraph,Source,Date
0,Talking to the Dead in the Sunshine State,"I was searching for facts, for a lost friend, and for what couldn’t be explained.",I. THE ROAD TO CASSADAGA,The New York Times,2020-08-01 17:00:13+00:00
1,"Ethiopian Workers Are Forced to Return Home, Some With Coronavirus","Stigmatized, out of work and facing dangers, migrant laborers are returning by the thousands — and may be fueling a growing outbreak in Ethiopia.","ADDIS ABABA, Ethiopia — Unemployed and shunned as possible coronavirus carriers, Ethiopian migrant laborers are returning home by the thousands, placing a huge strain on Ethiopia’s poorly equipped medical system.",The New York Times,2020-08-01 13:39:06+00:00
2,Storm Grazes Florida and Takes Aim at the Carolinas,"Storm watches have been extended as far north as New England. Tropical Storm Isaias is on a track to reach land on Monday, with heavy rain and the potential for damaging floods.",This briefing has ended.  Follow our Live Hurricane Isaias tracker and updates.,The New York Times,2020-08-02 13:37:26+00:00
3,Rescue of Troubled Trucking Company With White House Ties Draws Scrutiny,Members of a congressional oversight panel want to know how YRC Worldwide won a $700 million loan from the Treasury Department.,"WASHINGTON — At a virtual congressional hearing in May, Senator Jerry Moran, Republican of Kansas, asked Treasury Secretary Steven Mnuchin for help. A struggling trucking company in his state was on the brink of collapse and needed government support.",The New York Times,2020-08-03 19:40:23+00:00
4,Puzzlin’,Did David Levinson Wilk keep you up with his sparkling grid?,"SUNDAY PUZZLE — David Levinson Wilk has constructed for the Times since 1996, although it’s been a bit since we’ve seen one of his Sundays. He’s been busy: He was a head writer for the recent television iterations of the “$100,000 Pyramid” and “Cash Cab,” and he wrote for “Who Wants to be a Millionaire” for nine years. Those impressive trivia chops come into play today in the fill, and the theme is good wordplay.",The New York Times,2020-08-01 21:30:02+00:00
5,"Abductions, Censorship and Layoffs: Pakistani Critics Are Under Siege",Recent abductions of a journalist and an activist have underscored Pakistan’s worsening rights conditions as the country’s security forces pressure the news media and human rights groups.,"When Prime Minister Imran Khan boasted last year that Pakistan had one of the “freest presses in the world,” journalists were quick to object, saying that intimidation of reporters across the country was intensifying. It has only gotten worse since.",The New York Times,2020-08-03 06:31:14+00:00
6,"Attacking Mail-In Voting, Trump Suggests Rerunning a New York Race","Former President Barack Obama endorsed 118 candidates, hoping to tip the scales in key battlegrounds. Primary races in several states on Tuesday have the attention of national party leaders.","[Follow the DNC Live: Biden’s speech, schedule, start time, streaming and more.]",The New York Times,2020-08-03 12:04:46+00:00
7,A Historic Supreme Court Ruling Upends Courts in Oklahoma,"Local prosecutors are referring criminal cases to the federal and tribal courts, which are now flooded with new cases.","TULSA, Okla. — Kelsey Lipp was sitting in jail, charged with robbery and murder, when her lawyer walked into court with three pieces of paper and a new plan to get her case thrown out.",The New York Times,2020-08-03 09:00:18+00:00
8,The Strange Saga of TikTok,The chief executive of a big tech company negotiated directly with the U.S. president over an app. Say what?,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,The New York Times,2020-08-03 17:16:24+00:00
9,"To Break a Horse, and a Woman",How do prey animals stay safe in a world out to get them? And how would I?,"Horses talk, but not like Mr. Ed. A horse may be trained to respond to “whoa” and “giddy up,” but if you speak to a horse, you’re not speaking in horse. They converse mostly through body language, and their most visible correspondence is a sign language of ears.",The New York Times,2020-08-02 05:00:08+00:00
